Gebied;Locatienummer;Locatienaam;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;
Bargerveen;1;Amsterdamseveld noord;;;;4,4;4,3;4,0;5,4;4,9;4,8;6,4;4,4;6,0;5,7;
Bargerveen;2;Amsterdamseveld zuid;;;;4,3;5,3;4,4;5,8;5,0;4,7;5,7;4,1;5,7;5,7;
Bargerveen;3;Schoonebeekerveld;;;;4,1;4,6;4,6;5,9;5,7;4,7;5,4;4,1;5,8;5,7;
Bargerveen;4;Amsterdamseveld oost;;;;;;;;;;;4,3;5,7;5,3;
Bennekomse Meent;1;Midden;12,5;12,6;10,7;10,3;12,5;8,7;10,7;10,2;13,2;11,9;10,0;12,2;12,6;
Bennekomse Meent;2;Zuidwestrand;14,2;11,1;11,5;11,9;12,8;12,1;14,5;13,2;13,2;11,8;8,7;11,0;10,0;
Bennekomse Meent;3;Oostzijde;14,6;14,0;12,7;11,1;17,1;16,4;17,7;16,1;14,1;13,8;10,2;13,5;13,1;
Biesbosch;1;Otterpolder;;;;;;;;4,5;4,9;4,6;3,8;4,9;4,7;
Biesbosch;2;Hengstpolder;;;;;;;;4,8;5,2;4,9;4,3;5,4;5,0;
Biesbosch;3;Louw Simonswaard;;;;;;;;4,8;5,6;5,9;4,7;5,6;5,0;
Biesbosch;4;Maltha;;;;;;;;;;;;3,7;3,8;
Biesbosch;5;Eendenkooi Hofmansplaat;;;;;;;;;;;;5,1;5,0;
Biesbosch;6;Hoge Hof;;;;;;;;;;;;4,7;4,5;
Blijham De Wedderbergen;1;Hoornermeeden;;;;;;;;;;;4,4;6,3;5,3;
Boetelerveld;1;Oostelijk Veld;;6,6;7,3;5,8;6,1;5,8;6,7;6,7;6,6;6,4;5,2;6,1;5,9;
Boetelerveld;2;Westzijde;;8,2;8,0;5,9;7,1;5,9;7,2;8,0;7,5;7,3;6,9;8,0;8,1;
Boschhuizerbergen;1;Trimheuvel Zuid;;3,3;4,2;5,0;5,7;5,3;6,1;5,6;4,8;5,2;4,4;5,4;5,9;
Boschhuizerbergen;2;Pad Noord;;4,8;5,0;4,5;4,9;4,0;5,3;4,7;4,1;4,8;4,7;5,3;6,1;
Boschhuizerbergen;3;Zuiderbergweg;;;;;;;;;;;;;10,0;
Brabantse Wal;1;Groote Meer;3,7;3,8;2,8;4,2;3,0;3,4;3,5;3,3;3,0;3,1;2,6;3,6;3,6;
Brabantse Wal;2;Kriekelare Duinen;2,1;2,7;2,2;3,0;2,6;2,4;3,0;3,4;3,0;2,8;2,8;3,5;3,6;
Brabantse Wal;3;Klapwijk;2,8;2,9;2,1;2,8;2,2;2,3;2,0;2,2;2,7;2,3;2,5;2,9;3,1;
Brabantse Wal;4;Wouwse Plantage;;;;;;;;;;;;2,7;2,9;
Brabantse Wal;5;Zoomland;;;;;;;;;;;;3,6;4,3;
Brunssummerheide;1;Schrieversheide;;1,9;2,9;2,0;2,3;2,5;2,4;2,7;2,5;3,1;3,0;3,7;3,6;
Brunssummerheide;2;Plateau Tweede Heide;;2,5;3,0;2,2;2,4;2,4;3,5;3,5;2,7;3,2;2,7;3,5;2,9;
Brunssummerheide;3;Hangven;;;;;;;;2,0;1,6;2,4;2,3;2,2;2,4;
Buurserzand & Haaksbergerveen;1;Steenhaar;4,7;5,4;5,0;5,4;4,9;4,5;5,6;6,3;4,9;5,6;4,9;6,1;6,1;
Buurserzand & Haaksbergerveen;2;De Schans;4,5;5,4;4,7;4,9;5,3;4,5;5,4;4,9;4,3;5,2;4,5;5,4;5,4;
Buurserzand & Haaksbergerveen;3;Sekmaatvlakte;4,4;4,7;4,9;4,9;4,7;4,4;4,7;4,7;3,7;4,9;4,2;5,4;5,3;
Buurserzand & Haaksbergerveen;4;Horsterveen;;;;;4,7;4,6;5,6;5,7;5,7;5,4;5,1;6,5;6,7;
Buurserzand & Haaksbergerveen;5;Kerkenveen;;;;;6,4;5,3;6,0;6,4;6,3;6,6;5,3;6,8;6,7;
Buurserzand & Haaksbergerveen;6;Steenhaarplas;;;;;;;;6,0;4,5;5,5;;;;
De Borkeld & Elssenerveld;1;Berm A1;;7,0;5,1;5,9;;6,3;7,2;6,8;6,4;6,7;5,8;;7,5;
De Borkeld & Elssenerveld;2;Wildraster;;4,9;3,7;3,7;4,1;4,1;4,5;4,6;4,9;4,9;3,8;4,9;4,7;
De Borkeld & Elssenerveld;3;Wakelveld;;4,1;3,4;3,7;3,0;2,8;3,4;3,4;3,1;3,3;3,0;4,0;3,8;
De Borkeld & Elssenerveld;4;Elssenerveld;;5,0;3,8;3,6;4,5;3,8;4,3;4,4;4,2;4,7;3,8;5,0;4,9;
Dinkelland;1;Punthuizen;4,1;4,3;4,1;4,3;4,4;4,8;5,3;5,8;5,0;5,5;4,4;5,7;5,6;
Dinkelland;2;Stroothuizen/Groener;5,2;4,6;4,4;5,4;6,0;5,3;6,5;6,6;6,2;7,0;5,6;6,9;6,9;
Dinkelland;3;Stroothuizen/Oortven;4,5;4,1;3,9;4,5;4,4;4,4;5,3;5,0;;;;;;
Dinkelland;4;Dinkelland Zoekerbrug;;;;;;;;;5,7;6,8;5,8;7,8;6,9;
Dinkelland;5;Bossinksbrug;;;;;;;;;11,0;;;;;
Dinkelland;6;Terrein Bloemen;;;;;;;;;;;;7,2;6,8;
Drentse Aa;1;Kappersbult;3,7;4,3;3,2;4,2;2,2;4,6;4,4;4,5;4,2;4,3;4,7;5,4;5,9;
Drentse Aa;2;De Heest;2,4;3,0;2,9;2,9;3,9;5,2;5,6;3,6;3,4;3,4;2,9;3,7;3,7;
Drentse Aa;3;Postweg;3,0;3,0;2,5;3,1;;2,3;3,3;3,4;3,0;3,9;3,3;3,4;3,3;
Drentse Aa;4;Eexterveld;3,0;3,7;2,7;4,1;;2,9;3,7;3,9;4,5;5,1;4,1;4,2;5,2;
Drents-Friese Wold;1;Vledder Aa;;;;;;;;3,9;3,5;4,7;2,8;3,8;3,7;
Drents-Friese Wold;2;Wapserveld;;;;;;;;2,8;2,6;3,7;2,8;3,1;3,4;
Drents-Friese Wold;3;Oude Willem;;;;;;;;3,2;3,1;3,4;2,7;4,0;4,6;
Drents-Friese Wold;4;Kale Duinen;;;;;;;;3,1;3,1;3,6;2,8;3,5;3,6;
Duinen Texel & achterland;1;Dulevlak;;;;;;;;;;2,1;1,2;1,9;2,0;
Duinen Texel & achterland;2;Paal 9;;;;;;;;;;3,0;1,8;2,9;2,9;
Duinen Texel & achterland;3;Natte Blok;;;;;;;;;3,1;3,7;2,3;2,8;2,5;
Duinen Texel & achterland;4;De Bol;;;;;;;;;3,1;3,1;2,4;3,3;3,3;
Duinen Texel & achterland;5;Wagejot;;;;;;;;;3,5;2,9;2,6;2,9;3,1;
Dwingelderveld;1;Noorderveld;2,9;3,4;2,9;2,6;2,9;2,6;4,6;3,5;3,6;4,8;3,8;4,7;4,0;
Dwingelderveld;2;Benderseberg;3,5;4,0;3,2;3,3;3,8;3,5;4,6;3,6;4,2;5,6;4,3;5,6;4,5;
Dwingelderveld;3;Kloosterveld;;3,9;3,4;2,8;3,4;3,0;4,3;4,8;4,4;5,4;4,1;5,1;4,6;
Dwingelderveld;4;Veldslagen;;;2,6;2,8;3,1;2,1;3,7;3,2;3,8;4,4;3,4;4,6;4,6;
Eilandspolder;1;Werkschuur;;;;;;;;5,3;5,8;6,3;4,8;6,7;6,6;
Eilandspolder;2;Helsloot;;;;;;;;4,1;5,0;4,9;4,0;5,2;5,3;
Eilandspolder;3;Brug Delft;;;;;;;;4,8;5,1;4,8;3,7;5,3;5,4;
Engbertsdijksvenen;1;Noord;;;;;;;;;;;;5,5;5,9;
Fochteloërveen & Esmeer;1;Fochteloërveenseweg;;;;3,2;3,4;3,4;3,6;4,0;3,3;3,8;3,0;3,6;3,9;
Fochteloërveen & Esmeer;2;Fochtelo;;;;4,3;4,0;4,0;4,8;5,5;3,8;6,8;4,2;4,7;6,3;
Fochteloërveen & Esmeer;3;Norgervaart;;;;3,2;2,6;2,0;3,0;3,3;2,8;3,5;2,7;3,5;3,7;
Fochteloërveen & Esmeer;4;Bonghaar;;;;3,2;4,5;3,2;3,5;3,6;2,8;3,6;2,5;2,9;3,3;
Geuldal;1;Bovenste Molen;;;;;;;;3,5;3,6;4,0;3,8;5,5;4,4;
Geuldal;2;Volmolen;;;;;;;;3,8;4,1;4,2;3,8;4,9;5,5;
Geuldal;3;Kersenweide Gerendal;;;;;;;;3,4;3,8;5,9;4,5;4,7;4,8;
Grevelingen;1;Stampersplaat;;;;;;;;;2,7;2,4;2,5;2,9;2,9;
